The Innocence Project,281
Shout Your Abortion,281
National Education Association,281
Rock Steady Ecommerce,277
Purpose,277
American College of Rheumatology,277
The Dude's Designs,276
Presidential Collectibles LLC,273
True Conservative,272
Deplorable Housewives of the Midwest,268
UnidosUS,266
the International Union, United Automobile, Aerospace, and Agricultural Implement Workers of America (UAW). Not authorized by any candidate.,261
Air Line Pilots Association, International,259
FCTRY,258
In Search of Liberty,257
Environmental Voter Project,257
Soi Dog Foundation,254
Wind Energy Foundation,252
Plan International USA,252
American Patriot Daily News,252
Conservative World Daily,249
the Friends of Jess King,247
Spellchek Media,246
Brian Hill,245
O’Connor for Congress,243
Conservative Tribune,243
Abdul El-Sayed for Michigan,243
the Foundation for Constitutional Government,242
the ASPCA,242
Sanders For Congress,241
Random House,241
The Great Courses,238
the DSCC,237
Equality Texas.,236
Parks Project,235
Center for Western Priorities,234
Rainforest Action Network,231
STARZ Shows,229
NAACP Legal Defense Fund,228
Paid for by the International Union, United Automobile, Aerospace, and Agricultural Implement Workers of America (UAW). Not authorized by any candidate.,227
Jewish Democratic Council of America,227
Ohio Education Association,224
Leadership Institute,224
Let Africa Live,223
Equality Florida,222
Committee to Elect Valerie Haskins,221
Gillibrand for Senate,218
Sycamore Agency,217
OD Action,214
Together We Thrive,213
EveryLibrary | FEIN 46-1534149,207
Facing History and Ourselves,205
TheBlaze,204
Concerned Citizens Of America,204
Steve Sheldon for State Representative campaign,202
theSkimm,201
PETA,201
CNY Fertility,201
SupChina,199
National Audubon Society,198
Better Medicare Alliance,197
Rabbi-Shmuly Yanklowitz ,196
Pincause,195
Jois for Congress Inc. Authorized by Goutam Jois,195
The Mark Kaye Show,194
National Park Foundation,194
Joann,193
HowStuffWorks,193
the Florida Democratic Party. Not authorized by any candidate or candidate's committee.,183
Online Carry Course,183
Alexandria Ocasio-Cortez 2018,182
Webinar Technologies,180
2atees1,178
Friends of Marty Quinn Senate 2018,177
Save the Children US,176
the Organization of Iranian American Communities - OIAC,172
Protect The Harvest,172
World Food Program USA,170
Science for Humans and Freedom Institute,168
Moms Clean Air Force,168
Waters Kraus & Paul,167
Home Media Consultants,167
The Fighting Forces,164
Scalise for Congress,164
IP Video Market Info Inc.,163
Skydive Jersey,161
Giffords.,157
USA for UNHCR,155
American Jobs & Growth PAC,154
the Democratic National Committee,153
Wyoming Hunters and Anglers Alliance 501 (c) (4),153
Simon & Schuster,153
NationSwell,152
David Koch,152
the Association of American Physicians and Surgeons,149
Committee to Elect Darryl Morin,149
Energy Nation,148
Capital Research Center,148
American Tort Reform Association,147
Marcus Ferrell for District 24,144
Pioneer Institute,143
PushBlack Now,141
One Nation Design,141
Paid for by: Gray for Assembly 2018 FPPC ID# 1392612,139
Kentucky Family Values,139
Zephyr for NY,138
Anera,137
Pirani Life,136
Support The 2nd Amendment,135
45th President Donald J. Trump,135
Care2,134
Democratic Party of Wisconsin,133
President Trump Fans Page,132
Mic,130
James Thompson for Kansas,130
UNICEF USA,129
Gavin Newsom for Governor,129
Faith Johnson for DA,129
Adam Schiff for Congress,129
Smashbutton Media LLC,128
Palmetto Gun Rights,127
Summer T-Shirts,126
Public Land, Public Benefit, No on Measure E, a coalition of San Diego taxpayers, community planners, local business, and education, park and environmental advocates, opposed to SoccerCity. Supported by Mission Valley property owners. Committee major funding from H.G. Fenton Company and Sudberry Properties.,126
D.L. Free, Melbourne, FL,125
Water Lifestyle Co.,124
Serve America Movement,123
Maloney for New York,121
Drake for District 23, K. Upchurch, Treasurer,121
Save the Children Action Network ,120
Jamie Kiel Campaign 14696 Hwy 43, Russellville, AL 35653,120
the Environmental Working Group,119
and authorized by Run Aaron Run & Aaron Chadbourne,119
WCS,118
Tom Del Otero (Kasie's Dad),118
Kaniela Ing for Congress,118
Jeanette Largent,118
Paid for by Be a Hero PAC,116
Anthony Bonna, Republican, for St. Lucie County Commission - District 2,114
ORMAN FOR KANSAS, INC; TIM OWENS, TREASURER,113
Tennessee Riverkeeper,112
Momus LLC dba Deck of Deplorables,112
Human Rights Watch,110
SC Alliance To Fix Our Roads,108
Emerging American Majorities,108
Baria for Mississippi,108
Main Street Investors Coalition,107
The National Foster Youth Institute ,106
Miranda Terry,106
Chronic Disease Coalition,105
Philip Becnel,104
World Wildlife Fund,103
Pigeon Media USA,101
Phone2Action,101
Citizens for Greg Hart,101
Sarasota Citizen Martin Hyde,100
UltimateStraw,97
Friends of Tom Barrett, PO Box 121, Charlotte, MI 48813,97
The Brookings Institution,95
Friends of the Earth,92
Florida Senatorial Campaign Committee,92
House of Patriots,91
Build With Strength,91
Working Assets Funding Service, Inc. on behalf of itself and its affiliate, CREDO Mobile, Inc.,90
Greg Palast,90
Clergy for a New Drug Policy,90
Sand Cloud,89
Philadelphians for a Fair Future,88
Change.org,88
Giving Brush LLC,87
USA Homeowner Help,86
Bloomberg Philanthropies,86
Addicted to Golf,85
Friends for Donna Sheldon,84
SC Farm Bureau Federation ,82
Salazar for State Senate,81
the National League of Cities,80
Rich McAdams for State Board of Education ,79
iVote Fund, Ellen Kurz, President. Not authorized by any candidate or candidate’s campaign committee.,78
Bill Schuette for Governor,78
National Partnership for Women & Families,77
LGBTQ Victory Fund ,77
Freedom Action Network of South Carolina,77
U.S. National Committee for UN Women,76
Lynn Pryor,76
Friends of Bruce Johnson for State's Attorney,75
Equilibrium Management, LLC,75
Hello Resistance,73
OZY Media,72
Sharice for Congress,70
